,id,Sex,Birth.Order,Height,Weight
268,268,F,3,74.79255854,156.1786406
269,269,F,4,66.93284234,99.66501227
270,270,F,2,60.25820493,118.342506
271,271,F,1,67.07915903,157.4449548
272,272,F,3,66.56557074,155.7133293
273,273,M,2,76.85778608,178.5336055
274,274,F,1,65.40033196,169.9285543
275,275,M,1,73.21157955,126.7810414
276,276,F,1,64.53529183,139.4608836
277,277,M,2,62.544418,134.8140588
278,278,M,1,67.65493533,122.3293313
279,279,M,2,74.92982214,132.5615319
280,280,M,3,71.10967192,157.3556236
281,281,F,2,68.76839915,60.36918741
282,282,M,2,73.7752653,124.0975865
283,283,M,4,69.97468002,148.231449
284,284,F,1,66.19283211,112.495012
285,285,F,2,69.0793377,115.5672981
286,286,M,1,65.77935499,114.1623659
287,287,M,1,72.87064659,170.5820136
288,288,F,1,65.44046383,122.9903722
289,289,M,2,70.89572607,134.9245762
290,290,M,2,67.17754311,126.7860454
291,291,M,2,67.54477131,96.17720776
292,292,F,2,63.0961208,128.6797187
293,293,F,2,67.40564592,109.7670693
294,294,M,3,66.08940427,158.6901204
295,295,M,1,70.77030402,153.1054741
296,296,F,1,66.72756533,146.2457277
297,297,F,1,62.55202417,127.713589
298,298,M,1,72.87544496,169.8004363
299,299,M,1,64.49328429,128.0168586
300,300,F,1,71.17854913,126.3486167
301,301,M,1,68.09064962,107.8679726
302,302,F,2,66.33117471,118.5620363
303,303,F,2,66.24115122,138.7787718
304,304,M,1,67.28880085,132.1699524
305,305,M,3,66.12975762,127.9293498
306,306,F,1,72.22653844,111.36979
307,307,M,3,76.62725155,166.7870081
308,308,M,1,65.18786604,143.4056172
309,309,M,2,66.60987071,163.7860129
310,310,F,2,67.28311127,155.0213408
311,311,F,3,67.83951247,129.485399
312,312,M,1,76.87395007,129.6729931
313,313,M,1,66.03486047,136.1564039
314,314,F,1,72.43146684,140.6703482
315,315,M,1,67.10413107,185.9978626
316,316,M,2,69.94879929,112.0276254
317,317,M,1,74.74641906,151.0518966
318,318,F,1,67.55584878,154.0789042
319,319,M,1,70.31917117,142.2562035
320,320,M,3,69.94667837,155.4313115
321,321,M,1,69.24088824,138.6369544
322,322,F,1,71.80934073,148.1413634
323,323,M,3,76.15371008,137.4319201
324,324,F,1,68.58472794,145.1582945
325,325,M,1,65.61339735,142.3886449
326,326,M,2,64.5621121,110.3923322
327,327,F,2,71.30570759,167.524902
328,328,F,3,65.02664492,124.8808166
329,329,F,2,63.09401976,132.2758221
330,330,F,1,59.1510564,111.1693342
331,331,F,2,62.27589369,141.0927626
332,332,M,1,74.37301807,153.6129791
333,333,M,2,75.91625106,172.9234775
334,334,F,2,70.9389956,148.9573704
335,335,M,1,75.64525965,186.9706563
336,336,F,1,65.3934834,115.0790211
337,337,M,2,67.85987531,125.9225548
338,338,M,2,75.72757501,164.4407615
339,339,F,2,73.41238848,130.4925916
340,340,F,1,57.35877505,136.6712002
341,341,F,1,70.15338439,160.7434667
342,342,F,2,65.63623003,103.5848975
343,343,M,3,69.20177709,118.6804444
344,344,F,1,64.96982056,132.0015697
345,345,M,1,67.13302251,131.8858139
346,346,M,2,68.22029385,161.7752634
347,347,F,2,63.98987511,99.57826724
348,348,M,1,65.46880657,126.4895084
349,349,F,1,61.85163858,108.7271204
350,350,F,1,61.2935693,173.1606982
351,351,M,2,61.86493651,79.83534517
352,352,F,3,67.44346437,115.3516776
353,353,F,1,64.61310543,118.5408042
354,354,M,1,78.79347127,150.7753089
355,355,M,3,66.81759013,134.2626724
356,356,F,2,68.2931966,114.37014
357,357,F,1,61.79974035,120.9724227
358,358,F,1,66.73721299,89.81390372
359,359,F,3,65.14964654,149.4088819
360,360,M,2,70.60852756,138.4222188
361,361,F,2,71.29581925,118.3337552
362,362,M,1,71.36968997,126.5031664
363,363,F,2,64.76753389,120.7110335
364,364,F,2,62.521805,110.2915849
365,365,F,4,69.42863221,118.4182978
366,366,F,4,63.0631498,154.989475
367,367,F,1,58.6047678,123.3519516
368,368,F,4,70.57901793,139.7281265
369,369,M,1,69.50947546,156.0588044
370,370,M,1,75.3365295,145.5306025
371,371,M,1,66.34508539,147.6772955
372,372,F,1,61.07163589,99.57940371
373,373,M,2,71.85620407,157.6142051
374,374,M,2,71.50219335,173.4317567
375,375,F,2,65.09781171,146.9530254
376,376,F,2,63.47015959,100.9637762
377,377,F,1,73.3732439,169.5491092
378,378,F,2,63.37614668,137.6436729
379,379,M,1,72.11031219,147.7150945
380,380,F,2,68.80914902,134.0528651
381,381,F,1,62.95924928,118.0279609
382,382,M,1,70.29113026,148.3758827
383,383,F,1,63.80497992,128.1073227
384,384,F,1,62.58832445,168.4214361
385,385,M,2,69.43762856,107.8925728
386,386,F,2,70.88461291,148.8552061
387,387,M,1,64.78409025,123.872674
388,388,F,1,67.10454298,110.3460693
389,389,F,1,74.31250123,123.3282151
390,390,M,1,70.1350543,121.3469762
391,391,M,4,67.96128959,141.6834929
392,392,M,1,73.76752699,150.6412065
393,393,M,3,70.67242793,174.861045
394,394,F,1,67.22732638,130.9612785
395,395,M,2,67.9464611,174.4021988
396,396,M,3,70.52288737,141.0052808
397,397,F,1,70.75418022,125.8067158
398,398,M,4,67.1625532,156.6337248
399,399,M,1,67.54974974,124.4278504
400,400,F,1,69.8586544,102.15782
401,401,F,4,62.22228554,107.4210888
402,402,F,1,68.70399012,150.9396923
403,403,F,4,61.47432228,113.1258593
404,404,M,3,64.35864472,142.8585563
405,405,F,1,62.10502736,130.6273261
406,406,F,1,68.85372686,83.64734529
407,407,M,3,68.77369393,128.5924334
408,408,M,2,68.27112633,163.8277619
409,409,F,1,66.84441702,135.2277489
410,410,M,1,69.71341996,137.8543101
411,411,M,2,71.91756984,139.8604089
412,412,M,1,71.98442992,162.2497903
413,413,F,3,69.80759734,133.0685556
414,414,M,3,72.49004255,149.8344123
415,415,F,1,67.26850457,153.4301026
416,416,M,3,70.19306088,151.4836518
417,417,F,4,65.00603731,131.4243257
418,418,F,3,60.90341489,124.9566929
419,419,F,2,60.87638853,96.97737161
420,420,M,3,73.12365698,178.5084737
421,421,M,2,68.14433451,110.8176493
422,422,F,1,67.3877767,124.7591947
423,423,M,1,68.9004358,102.7657852
424,424,M,1,71.38420554,150.4099041
425,425,F,1,67.06899338,116.5039098
426,426,M,2,72.60705826,117.609084
427,427,M,1,70.06278779,102.5609667
428,428,F,1,63.13700542,125.5254232
429,429,M,1,66.7160081,156.907926
430,430,M,4,63.70858432,123.4550591
431,431,F,2,67.33365352,117.1876884
432,432,F,2,71.81504576,129.5744395
433,433,F,1,63.22209358,96.54671864
434,434,F,4,70.97512519,155.0287129
435,435,F,1,69.20508601,129.5432691
436,436,F,1,64.98428909,120.3180815
437,437,M,1,69.86318553,160.8878764
438,438,M,3,70.4017224,187.0959981
439,439,M,1,72.45917792,139.7358477
440,440,M,1,73.26281415,164.5284158
441,441,M,3,69.06701651,161.4774495
442,442,F,3,70.03444095,113.0501709
443,443,F,1,67.89419455,129.8237893
444,444,M,1,70.64904614,138.6453914
445,445,M,2,67.32695195,141.2488537
446,446,F,1,71.99313602,90.84873717
447,447,M,1,73.4056367,151.7462516
448,448,F,1,67.01060353,138.3241151
449,449,M,4,66.31903673,140.7310249
450,450,F,4,58.36349343,101.9544281
451,451,F,3,70.61295066,91.71928503
452,452,F,1,63.39678504,157.4112649
453,453,M,2,68.16872351,130.6458858
454,454,F,1,70.96926036,133.3100487
455,455,M,1,66.87754052,135.8230109
456,456,F,2,60.87666441,104.0479995
457,457,M,1,69.1243394,131.7845747
458,458,F,1,69.57952089,111.3020788
459,459,M,1,68.72427061,176.0098524
460,460,F,1,69.86642611,127.9619803
461,461,F,1,60.57741351,128.6002843
462,462,F,3,65.56799275,120.7870366
463,463,M,3,68.27200421,132.2396093
464,464,M,1,69.03152549,111.6142057
465,465,M,3,66.63707404,122.1246985
466,466,F,2,67.20943068,138.4574829
467,467,F,1,67.73277302,119.9910911
468,468,F,1,64.84938388,129.5459591
469,469,M,1,73.19522179,154.1990363
470,470,F,4,69.15734034,140.4285847
471,471,M,1,66.86628969,147.3332275
472,472,F,2,62.7729213,111.3350017
473,473,M,3,71.07906827,150.2700851
474,474,F,1,61.8111352,95.63564853
475,475,M,1,69.20789243,131.2773848
476,476,M,1,67.28676699,130.5068804
477,477,F,4,64.49438641,113.4998073
478,478,M,2,70.97288828,142.9842778
479,479,M,1,69.01057019,137.6914032
480,480,F,1,71.01391041,157.4928132
481,481,F,1,57.84407968,115.4255456
482,482,F,1,67.0106188,102.0150845
483,483,F,1,73.83395809,112.2848029
484,484,F,3,70.90727079,127.6185179
485,485,F,1,69.91724309,136.8351265
486,486,M,1,62.57580153,174.7742727
487,487,M,1,77.02866171,171.7387493
488,488,M,2,65.72285584,188.8034477
489,489,F,2,64.96515488,90.58605884
490,490,F,2,67.85349192,155.2572087
491,491,M,2,72.73038293,155.0794113
492,492,M,2,75.86403333,123.8546131
493,493,M,2,80.24671246,157.3050559
494,494,M,2,71.67326072,106.9054003
495,495,M,3,72.59880006,117.3937504
496,496,F,2,76.74665093,158.0015968
497,497,F,1,66.77431929,114.5253344
498,498,M,1,75.45385673,130.0562007
499,499,M,2,72.66695305,151.1174617
500,500,F,1,62.15377461,106.6246323
